date,close_price,pre_close,trades,trade_count,start_pos,end_pos,turnover,commission,slippage,trading_pnl,holding_pnl,total_pnl,net_pnl,balance,return,highlevel,drawdown,ddpercent
2023-12-08,192.91,191.47,[],0,100,100,0.0,0.0,0.0,0.0,143.99999999999977,143.99999999999977,143.99999999999977,1005811.3405,0.00014317825150850347,1008108.8835,-2297.542999999947,-0.22790623489232914
2023-12-11,190.38,192.91,[],0,100,100,0.0,0.0,0.0,0.0,-253.0000000000001,-253.0000000000001,-253.0000000000001,1005558.3405,-0.00025156986676711396,1008108.8835,-2550.542999999947,-0.2530027303345301
2023-12-12,191.91,190.38,[],0,100,100,0.0,0.0,0.0,0.0,153.0000000000001,153.0000000000001,153.0000000000001,1005711.3405,0.00015214270044485145,1008108.8835,-2397.542999999947,-0.23782579830821884
2023-12-13,195.16,191.91,[],0,100,100,0.0,0.0,0.0,0.0,325.0,325.0,325.0,1006036.3405,0.00032310215231947775,1008108.8835,-2072.542999999947,-0.20558721720657738
2023-12-14,195.31,195.16,[],0,100,100,0.0,0.0,0.0,0.0,15.000000000000568,15.000000000000568,15.000000000000568,1006051.3405,1.4909887021188403e-05,1008108.8835,-2057.542999999947,-0.20409928269419392
2023-12-15,194.77,195.31,[],0,100,100,0.0,0.0,0.0,0.0,-53.999999999999204,-53.999999999999204,-53.999999999999204,1005997.3405,-5.367663369465913e-05,1008108.8835,-2111.542999999947,-0.20945584693877434
2023-12-18,193.09,194.77,[],0,100,100,0.0,0.0,0.0,0.0,-168.00000000000068,-168.00000000000068,-168.00000000000068,1005829.3405,-0.0001670123992063084,1008108.8835,-2279.542999999947,-0.226120713477469
2023-12-19,194.14,193.09,[],0,100,100,0.0,0.0,0.0,0.0,104.9999999999983,104.9999999999983,104.9999999999983,1005934.3405,0.00010438601818593605,1008108.8835,-2174.542999999947,-0.21570517189078484
2023-12-20,192.03,194.14,[],0,100,100,0.0,0.0,0.0,0.0,-210.99999999999852,-210.99999999999852,-210.99999999999852,1005723.3405,-0.0002097772426855882,1008108.8835,-2385.542999999947,-0.2366354506983121
2023-12-21,191.88,192.03,[],0,100,100,0.0,0.0,0.0,0.0,-15.000000000000568,-15.000000000000568,-15.000000000000568,1005708.3405,-1.491474967004362e-05,1008108.8835,-2400.542999999947,-0.23812338521069554
2023-12-22,190.8,191.88,[],0,100,100,0.0,0.0,0.0,0.0,-107.99999999999841,-107.99999999999841,-107.99999999999841,1005600.3405,-0.00010739276484413497,1008108.8835,-2508.542999999947,-0.2488365136998564
2023-12-26,190.25,190.8,[],0,100,100,0.0,0.0,0.0,0.0,-55.00000000000114,-55.00000000000114,-55.00000000000114,1005545.3405,-5.469519243020128e-05,1008108.8835,-2563.542999999947,-0.25429227357859574
2023-12-27,190.35,190.25,[],0,100,100,0.0,0.0,0.0,0.0,9.999999999999432,9.999999999999432,9.999999999999432,1005555.3405,9.944802957411981e-06,1008108.8835,-2553.542999999947,-0.25330031723700674
2023-12-28,190.78,190.35,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='AAPL', exchange=<Exchange.NASDAQ: 'NASDAQ'>, orderid='32', tradeid='30', direction=<Direction.SHORT: 'Short'>, offset=<Offset.CLOSE: 'Close'>, price=191.34, volume=100, datetime=datetime.datetime(2023, 12, 28, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='AAPL', exchange=<Exchange.NASDAQ: 'NASDAQ'>, orderid='33', tradeid='31', direction=<Direction.SHORT: 'Short'>, offset=<Offset.OPEN: 'Open'>, price=191.34, volume=100, datetime=datetime.datetime(2023, 12, 28, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",2,100,-100,38268.0,19.134,2.0,112.00000000000045,43.00000000000068,155.00000000000114,133.86600000000112,1005689.2065,0.0001331175767732211,1008108.8835,-2419.677000000025,-0.24002139447469964
2023-12-29,189.73,190.78,[],0,-100,-100,0.0,0.0,0.0,0.0,105.00000000000114,105.00000000000114,105.00000000000114,1005794.2065,0.00010440056270588031,1008108.8835,-2314.677000000025,-0.22960585288801547
2024-01-02,182.84,189.73,[],0,-100,-100,0.0,0.0,0.0,0.0,688.9999999999986,688.9999999999986,688.9999999999986,1006483.2065,0.0006847962636505601,1008108.8835,-1625.6770000000251,-0.1612600609525355
2024-01-03,181.45,182.84,[],0,-100,-100,0.0,0.0,0.0,0.0,139.00000000000148,139.00000000000148,139.00000000000148,1006622.2065,0.00013809510353827414,1008108.8835,-1486.6770000000251,-0.14747186780444885
2024-01-04,179.11,181.45,[],0,-100,-100,0.0,0.0,0.0,0.0,233.9999999999975,233.9999999999975,233.9999999999975,1006856.2065,0.00023243358313908004,1008108.8835,-1252.6770000000251,-0.12426008941126697
2024-01-05,178.38,179.11,[],0,-100,-100,0.0,0.0,0.0,0.0,73.00000000000182,73.00000000000182,73.00000000000182,1006929.2065,7.250027690214808e-05,1008108.8835,-1179.6770000000251,-0.11701880811766749
2024-01-08,182.76,178.38,[],0,-100,-100,0.0,0.0,0.0,0.0,-437.99999999999955,-437.99999999999955,-437.99999999999955,1006491.2065,-0.00043508052673077555,1008108.8835,-1617.6770000000251,-0.16046649587926434
2024-01-09,182.34,182.76,[],0,-100,-100,0.0,0.0,0.0,0.0,41.99999999999875,41.99999999999875,41.99999999999875,1006533.2065,4.172825697974984e-05,1008108.8835,-1575.6770000000251,-0.15630027924459067
2024-01-10,183.39,182.34,[],0,-100,-100,0.0,0.0,0.0,0.0,-104.9999999999983,-104.9999999999983,-104.9999999999983,1006428.2065,-0.00010432390747001085,1008108.8835,-1680.6770000000251,-0.16671582083127484
2024-01-11,182.79,183.39,[],0,-100,-100,0.0,0.0,0.0,0.0,59.99999999999943,59.99999999999943,59.99999999999943,1006488.2065,5.9614994075609394e-05,1008108.8835,-1620.6770000000251,-0.160764082781741
2024-01-12,183.12,182.79,[],0,-100,-100,0.0,0.0,0.0,0.0,-33.00000000000125,-33.00000000000125,-33.00000000000125,1006455.2065,-3.278780693961679e-05,1008108.8835,-1653.6770000000251,-0.16403753870898463
2024-01-16,180.83,183.12,[],0,-100,-100,0.0,0.0,0.0,0.0,228.9999999999992,228.9999999999992,228.9999999999992,1006684.2065,0.00022750535756144966,1008108.8835,-1424.6770000000251,-0.14132173848659724
2024-01-17,179.88,180.83,[],0,-100,-100,0.0,0.0,0.0,0.0,95.0000000000017,95.0000000000017,95.0000000000017,1006779.2065,9.436476417419995e-05,1008108.8835,-1329.6770000000251,-0.13189815324150203
2024-01-18,185.83,179.88,[],0,-100,-100,0.0,0.0,0.0,0.0,-595.0000000000017,-595.0000000000017,-595.0000000000017,1006184.2065,-0.0005911682383155265,1008108.8835,-1924.6770000000251,-0.19091955556604567
2024-01-19,188.76,185.83,[],0,-100,-100,0.0,0.0,0.0,0.0,-292.99999999999784,-292.99999999999784,-292.99999999999784,1005891.2065,-0.0002912415709450582,1008108.8835,-2217.677000000025,-0.21998387637460248
2024-01-22,191.09,188.76,[],0,-100,-100,0.0,0.0,0.0,0.0,-233.00000000000125,-233.00000000000125,-233.00000000000125,1005658.2065,-0.00023166221971603193,1008108.8835,-2450.677000000025,-0.24309645913362546
2024-01-23,192.38,191.09,[],0,-100,-100,0.0,0.0,0.0,0.0,-128.9999999999992,-128.9999999999992,-128.9999999999992,1005529.2065,-0.00012828242593714625,1008108.8835,-2579.677000000025,-0.2558926959401231
2024-01-24,191.7,192.38,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='AAPL', exchange=<Exchange.NASDAQ: 'NASDAQ'>, orderid='34', tradeid='32', direction=<Direction.LONG: 'Long'>, offset=<Offset.CLOSE: 'Close'>, price=192.62, volume=100, datetime=datetime.datetime(2024, 1, 24, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='AAPL', exchange=<Exchange.NASDAQ: 'NASDAQ'>, orderid='35', tradeid='33', direction=<Direction.LONG: 'Long'>, offset=<Offset.OPEN: 'Open'>, price=192.62, volume=100, datetime=datetime.datetime(2024, 1, 24, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",2,-100,100,38524.0,19.262,2.0,-184.00000000000318,68.00000000000068,-116.0000000000025,-137.2620000000025,1005391.9445,-0.00013651654133222207,1008108.8835,-2716.939000000013,-0.2695084870760404
2024-01-25,191.37,191.7,[],0,100,100,0.0,0.0,0.0,0.0,-32.99999999999841,-32.99999999999841,-32.99999999999841,1005358.9445,-3.282355878443959e-05,1008108.8835,-2749.939000000013,-0.272781943003284
2024-01-26,189.62,191.37,[],0,100,100,0.0,0.0,0.0,0.0,-175.0,-175.0,-175.0,1005183.9445,-0.00017408233507415152,1008108.8835,-2924.939000000013,-0.290141178981091
2024-01-29,188.93,189.62,[],0,100,100,0.0,0.0,0.0,0.0,-68.99999999999977,-68.99999999999977,-68.99999999999977,1005114.9445,-6.864650864071723e-05,1008108.8835,-2993.939000000013,-0.29698567773805484
2024-01-30,185.24,188.93,[],0,100,100,0.0,0.0,0.0,0.0,-368.9999999999998,-368.9999999999998,-368.9999999999998,1004745.9445,-0.0003671895962207856,1008108.8835,-3362.939000000013,-0.3335888667426878
2024-01-31,181.6,185.24,[],0,100,100,0.0,0.0,0.0,0.0,-364.0000000000015,-364.0000000000015,-364.0000000000015,1004381.9445,-0.000362346275690575,1008108.8835,-3726.939000000013,-0.3696960775765263
2024-02-01,184.06,181.6,[],0,100,100,0.0,0.0,0.0,0.0,246.0000000000008,246.0000000000008,246.0000000000008,1004627.9445,0.00024489675494016467,1008108.8835,-3480.939000000013,-0.3452939515734377
2024-02-02,183.05,184.06,[],0,100,100,0.0,0.0,0.0,0.0,-100.99999999999909,-100.99999999999909,-100.99999999999909,1004526.9445,-0.00010053978480015758,1008108.8835,-3581.939000000013,-0.35531271062348624
